Name,Sweep (T1),,,
Date,12/06/2023,,,
Time,12:22:18,,,
Instrument,FPC1500 - 102527/003,,,
Firmware Version,V1.80,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,43000000,Hz,,
Frequency Offset,0,Hz,,
Span,1000000,Hz,,
Ref Level,-45,dBm,,
Ref Offset,0,dB,,
Ref Position,1.00 ,,,
Range,50,dB,,
RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,30000,Hz,,
VBW,30000,Hz,,
SWT,0.02,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Off,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,43058375.6,Hz,,
Marker 1 Value,-85.05,dBm,,

Frequency [Hz],Magnitude [dBm],,,
42500000,-85.3041534423828,,,
42500846.0236887,-85.916145324707,,,
42501692.0473773,-84.8116683959961,,,
42502538.071066,-85.3193511962891,,,
42503384.0947547,-85.7432403564453,,,
42504230.1184433,-85.5001449584961,,,
42505076.142132,-86.2010650634766,,,
42505922.1658206,-84.5719680786133,,,
42506768.1895093,-87.4493713378906,,,
42507614.213198,-87.6051788330078,,,
42508460.2368866,-86.7781600952148,,,
42509306.2605753,-85.9164733886719,,,
42510152.284264,-86.7520065307617,,,
42510998.3079526,-84.1797332763672,,,
42511844.3316413,-84.6252365112305,,,
42512690.3553299,-86.6418685913086,,,
42513536.3790186,-88.5104598999023,,,
42514382.4027073,-88.1518020629883,,,
42515228.4263959,-85.3125610351563,,,
42516074.4500846,-84.7086181640625,,,
42516920.4737733,-85.6803436279297,,,
42517766.4974619,-87.2096557617188,,,
42518612.5211506,-86.1103668212891,,,
42519458.5448393,-85.4018936157227,,,
42520304.5685279,-86.1192779541016,,,
42521150.5922166,-87.9965133666992,,,
42521996.6159052,-88.1728897094727,,,
42522842.6395939,-88.2656860351563,,,
42523688.6632826,-85.9790802001953,,,
42524534.6869712,-87.0907440185547,,,
42525380.7106599,-88.9465789794922,,,
42526226.7343486,-86.0998306274414,,,
42527072.7580372,-86.8212127685547,,,
42527918.7817259,-86.5057067871094,,,
42528764.8054146,-87.5607147216797,,,
42529610.8291032,-85.8216171264648,,,
42530456.8527919,-86.5104598999023,,,
42531302.8764805,-87.2736434936523,,,
42532148.9001692,-86.3022842407227,,,
42532994.9238579,-87.4199676513672,,,
42533840.9475465,-86.5867538452148,,,
42534686.9712352,-85.9768295288086,,,
42535532.9949239,-85.8660354614258,,,
42536379.0186125,-84.9200668334961,,,
42537225.0423012,-85.1083526611328,,,
42538071.0659898,-86.8773422241211,,,
42538917.0896785,-86.4441070556641,,,
42539763.1133672,-86.7169036865234,,,
42540609.1370558,-86.9937210083008,,,
42541455.1607445,-88.1852874755859,,,
42542301.1844332,-86.6350860595703,,,
42543147.2081218,-85.6256866455078,,,
42543993.2318105,-86.745246887207,,,
42544839.2554992,-85.4185104370117,,,
42545685.2791878,-85.9662628173828,,,
42546531.3028765,-86.5160217285156,,,
42547377.3265651,-86.2424697875977,,,
42548223.3502538,-87.512565612793,,,
42549069.3739425,-85.1336898803711,,,
42549915.3976311,-86.8934783935547,,,
42550761.4213198,-86.4188919067383,,,
42551607.4450085,-87.5183029174805,,,
42552453.4686971,-86.9160995483398,,,
42553299.4923858,-86.9488983154297,,,
42554145.5160744,-88.4484176635742,,,
42554991.5397631,-85.4542007446289,,,
42555837.5634518,-85.5115432739258,,,
42556683.5871404,-86.8723983764648,,,
42557529.6108291,-85.259033203125,,,
42558375.6345178,-84.7956466674805,,,
42559221.6582064,-84.6138229370117,,,
42560067.6818951,-85.352653503418,,,
42560913.7055838,-85.5933456420898,,,
42561759.7292724,-86.168327331543,,,
42562605.7529611,-85.5742568969727,,,
42563451.7766497,-87.2207107543945,,,
42564297.8003384,-87.2493286132813,,,
42565143.8240271,-86.0231628417969,,,
42565989.8477157,-87.8455429077148,,,
42566835.8714044,-86.2790756225586,,,
42567681.8950931,-86.3485107421875,,,
42568527.9187817,-87.2563323974609,,,
42569373.9424704,-86.1709289550781,,,
42570219.9661591,-86.0213851928711,,,
42571065.9898477,-88.7938766479492,,,
42571912.0135364,-86.5340881347656,,,
42572758.037225,-87.7198944091797,,,
42573604.0609137,-87.7490692138672,,,
42574450.0846024,-86.2458190917969,,,
42575296.108291,-86.8883056640625,,,
42576142.1319797,-86.365608215332,,,
42576988.1556684,-84.8160858154297,,,
42577834.179357,-85.8122177124023,,,
42578680.2030457,-87.7169647216797,,,
42579526.2267343,-87.3893814086914,,,
42580372.250423,-86.5987548828125,,,
42581218.2741117,-87.0672378540039,,,
42582064.2978003,-85.7472991943359,,,
42582910.321489,-86.0718688964844,,,
42583756.3451777,-86.4136428833008,,,
42584602.3688663,-86.2635040283203,,,
42585448.392555,-86.7610778808594,,,
42586294.4162437,-88.000862121582,,,
42587140.4399323,-85.3958282470703,,,
42587986.463621,-85.4940719604492,,,
42588832.4873096,-85.5530853271484,,,
42589678.5109983,-85.5393371582031,,,
42590524.534687,-86.2891845703125,,,
42591370.5583756,-86.7703399658203,,,
42592216.5820643,-86.9840850830078,,,
42593062.605753,-87.5362396240234,,,
42593908.6294416,-85.804443359375,,,
42594754.6531303,-87.0872116088867,,,
42595600.676819,-86.6295623779297,,,
42596446.7005076,-87.6158142089844,,,
42597292.7241963,-84.9564437866211,,,
42598138.7478849,-85.6769561767578,,,
42598984.7715736,-87.8480682373047,,,
42599830.7952623,-84.7764663696289,,,
42600676.8189509,-86.2186889648438,,,
42601522.8426396,-87.1319580078125,,,
42602368.8663283,-86.9481048583984,,,
42603214.8900169,-86.8632965087891,,,
42604060.9137056,-85.5035781860352,,,
42604906.9373942,-85.3402709960938,,,
42605752.9610829,-85.8332901000977,,,
42606598.9847716,-85.4673538208008,,,
42607445.0084602,-84.9509582519531,,,
42608291.0321489,-86.1625213623047,,,
42609137.0558376,-87.3460922241211,,,
42609983.0795262,-85.8615570068359,,,
42610829.1032149,-85.4590911865234,,,
42611675.1269036,-85.5105667114258,,,
42612521.1505922,-86.156379699707,,,
42613367.1742809,-86.1965637207031,,,
42614213.1979695,-87.4834747314453,,,
42615059.2216582,-87.2205657958984,,,
42615905.2453469,-86.8800811767578,,,
42616751.2690355,-85.9358673095703,,,
42617597.2927242,-87.6285552978516,,,
42618443.3164129,-87.3209228515625,,,
42619289.3401015,-87.1135711669922,,,
42620135.3637902,-85.9368057250977,,,
42620981.3874789,-85.5985870361328,,,
42621827.4111675,-87.9567794799805,,,
42622673.4348562,-85.5335464477539,,,
42623519.4585448,-84.1228332519531,,,
42624365.4822335,-84.7303009033203,,,
42625211.5059222,-84.6066665649414,,,
42626057.5296108,-86.4253692626953,,,
42626903.5532995,-85.469108581543,,,
42627749.5769882,-86.5340118408203,,,
42628595.6006768,-86.0384979248047,,,
42629441.6243655,-87.1037826538086,,,
42630287.6480541,-85.8434143066406,,,
42631133.6717428,-86.4867095947266,,,
42631979.6954315,-88.4123916625977,,,
42632825.7191201,-87.1596527099609,,,
42633671.7428088,-86.1533126831055,,,
42634517.7664975,-85.8097381591797,,,
42635363.7901861,-85.2747802734375,,,
42636209.8138748,-87.0423889160156,,,
42637055.8375635,-87.595085144043,,,
42637901.8612521,-86.0237808227539,,,
42638747.8849408,-85.8996047973633,,,
42639593.9086294,-87.2590179443359,,,
42640439.9323181,-87.1926574707031,,,
42641285.9560068,-85.8479232788086,,,
42642131.9796954,-86.3914184570313,,,
42642978.0033841,-85.2751617431641,,,
42643824.0270728,-87.1830902099609,,,
42644670.0507614,-87.7860641479492,,,
42645516.0744501,-85.7758331298828,,,
42646362.0981388,-84.8425750732422,,,
42647208.1218274,-85.1852493286133,,,
42648054.1455161,-86.3834991455078,,,
42648900.1692047,-86.6139221191406,,,
42649746.1928934,-85.8760375976563,,,
42650592.2165821,-84.9848785400391,,,
42651438.2402707,-85.5681610107422,,,
42652284.2639594,-87.2483673095703,,,
42653130.2876481,-86.0895843505859,,,
42653976.3113367,-85.5561294555664,,,
42654822.3350254,-86.7794952392578,,,
42655668.358714,-85.0878219604492,,,
42656514.3824027,-87.3947525024414,,,
42657360.4060914,-87.9940490722656,,,
42658206.42978,-86.3450927734375,,,
42659052.4534687,-84.2812957763672,,,
42659898.4771574,-85.6966094970703,,,
42660744.500846,-85.4484710693359,,,
42661590.5245347,-84.1408538818359,,,
42662436.5482234,-83.416259765625,,,
42663282.571912,-84.8577194213867,,,
42664128.5956007,-85.5261383056641,,,
42664974.6192893,-86.2856826782227,,,
42665820.642978,-85.5237350463867,,,
42666666.6666667,-85.4525756835938,,,
42667512.6903553,-86.1522750854492,,,
42668358.714044,-86.0685577392578,,,
42669204.7377327,-86.3013610839844,,,
42670050.7614213,-84.9572296142578,,,
42670896.78511,-86.0232315063477,,,
42671742.8087986,-87.4324035644531,,,
42672588.8324873,-87.8759536743164,,,
42673434.856176,-85.1295394897461,,,
42674280.8798646,-85.2873611450195,,,
42675126.9035533,-85.5471954345703,,,
42675972.927242,-87.6529388427734,,,
42676818.9509306,-87.2374801635742,,,
42677664.9746193,-87.0966186523438,,,
42678510.998308,-87.7483062744141,,,
42679357.0219966,-85.2389373779297,,,
42680203.0456853,-85.8972091674805,,,
